ID,Customer_ID,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
1,CUST_000001,User_1,56,452-16-1347,Salaried,58066,4077,2,2,22.7,0,Auto Loan,2,1,26.5,0,Standard,9153,0.4987238620874921,6,Yes,208,146,High_spent_Medium_value_payments,3233,Good
2,CUST_000002,User_2,69,100-72-2783,Self-Employed,24311,1821,4,1,5.8,1,Not Specified,2,3,30.5,5,Bad,6451,0.02956203678532521,150,No,195,148,Low_spent_Large_value_payments,1511,Standard
3,CUST_000003,User_3,46,842-48-2042,Salaried,64873,5395,3,2,8.7,1,Student Loan,7,1,39.6,5,Good,2509,0.15800011892942784,2,Yes,960,905,Low_spent_Medium_value_payments,3708,Poor
4,CUST_000004,User_4,32,130-86-2234,Self-Employed,34847,2576,1,2,19.9,1,Personal Loan,5,3,5.5,2,Standard,8031,0.32915307143380734,203,No,683,363,Low_spent_Medium_value_payments,741,Standard
5,CUST_000005,User_5,60,260-68-7257,Salaried,22575,1733,3,4,11.0,0,Auto Loan,1,3,26.3,1,Standard,1106,0.22190295788536002,55,Yes,773,153,High_spent_Small_value_payments,377,Good
6,CUST_000006,User_6,25,603-42-2695,Salaried,35720,2853,4,1,8.3,0,Not Specified,4,3,26.3,3,Standard,7548,0.4452601229495556,10,Yes,1395,121,High_spent_Small_value_payments,1920,Poor
7,CUST_000007,User_7,38,319-50-1968,Salaried,19528,1597,1,1,7.7,1,Home Loan,6,0,39.3,6,Standard,1570,0.1949114259941011,37,Yes,378,68,High_spent_Small_value_payments,1010,Standard
8,CUST_000008,User_8,56,341-20-9338,Salaried,49310,3692,2,1,6.0,2,Home Loan,2,1,9.3,2,Standard,5408,0.10105022058155548,1,No,192,206,Low_spent_Medium_value_payments,2279,Standard
9,CUST_000009,User_9,36,281-66-6161,Unemployed,42288,3135,3,2,24.3,0,Home Loan,3,0,23.8,0,Standard,26566,0.18622391110235306,38,Yes,347,287,Low_spent_Large_value_payments,2546,Poor
10,CUST_000010,User_10,40,965-80-9734,Student,21342,1297,1,1,19.4,2,Student Loan,1,1,19.2,0,Good,1434,0.27411591070218305,212,Yes,207,396,Low_spent_Medium_value_payments,504,Poor
11,CUST_000011,User_11,28,791-11-4359,Salaried,19754,1482,3,2,6.8,0,Student Loan,3,2,8.1,4,Standard,2496,0.42114226472399896,202,Yes,893,1692,Low_spent_Large_value_payments,-884,Standard
12,CUST_000012,User_12,28,237-17-9921,Self-Employed,12143,836,3,2,15.7,1,Personal Loan,1,1,5.4,3,Good,1693,0.5090907947948443,7,Yes,341,374,High_spent_Small_value_payments,-185,Poor
13,CUST_000013,User_13,41,321-84-3555,Self-Employed,29811,2118,7,1,5.9,1,Personal Loan,6,3,1.7,2,Good,3359,0.3220259292796349,142,No,744,132,High_spent_Small_value_payments,1540,Poor
14,CUST_000014,User_14,53,226-18-2735,Retired,27100,1631,2,1,23.1,0,Home Loan,2,3,28.6,0,Standard,52343,0.3577563840155925,26,No,542,642,Low_spent_Large_value_payments,-49,Poor
15,CUST_000015,User_15,57,863-24-7369,Student,31456,2575,2,1,7.1,2,Home Loan,4,1,7.9,3,Bad,8296,0.4926109245448263,122,Yes,150,101,Low_spent_Large_value_payments,2785,Good
16,CUST_000016,User_16,41,964-72-2242,Salaried,25616,1963,1,3,20.3,1,Personal Loan,5,2,48.0,1,Standard,5846,0.4132691174146736,5,Yes,96,178,Low_spent_Medium_value_payments,2281,Standard
17,CUST_000017,User_17,20,376-14-9098,Salaried,60884,4569,7,2,22.5,1,Personal Loan,4,1,45.6,1,Good,7029,0.17745907549001744,57,No,284,57,Low_spent_Large_value_payments,3725,Good
18,CUST_000018,User_18,39,440-77-8160,Salaried,25432,2080,3,4,18.0,1,Student Loan,5,2,1.7,1,Bad,3180,0.5483935818065282,1,Yes,199,400,Low_spent_Large_value_payments,2458,Standard
19,CUST_000019,User_19,19,573-71-1418,Salaried,68495,5152,3,1,24.2,0,Not Specified,3,1,27.4,2,Good,7629,0.17757805454130812,357,Yes,656,211,High_spent_Medium_value_payments,3911,Standard
20,CUST_000020,User_20,41,809-30-2871,Salaried,28369,1988,3,1,6.7,0,Home Loan,6,3,12.5,2,Standard,3838,0.04808419004543224,141,Yes,50,620,High_spent_Medium_value_payments,1672,Good
